	clade	species	ts	te	order	age
24	0.0	Alopias alabamensis	-49.59233470352223	-12.278820065766666	Lamniformes	37.31351463775557
25	0.0	Alopias carolinensis	-37.96381305214444	-33.937510902777774	Lamniformes	4.026302149366664
26	0.0	Alopias crochardi	-55.83675020601112	-41.04448808121112	Lamniformes	14.792262124799997
27	0.0	Alopias denticulatus	-55.735751664144445	-9.332496066177775	Lamniformes	46.40325559796667
28	0.0	Alopias exigua	-34.318504703500004	-11.797960716644443	Lamniformes	22.52054398685556
29	0.0	Alopias grandis	-43.16500613773333	-1.7309670970333335	Lamniformes	41.43403904069999
30	0.0	Alopias latidens	-40.01335162106667	-2.1773272268222224	Lamniformes	37.83602439424445
31	0.0	Alopias leeensis	-50.168912910866666	-37.67852289621111	Lamniformes	12.490390014655553
32	0.0	Alopias pelagicus	-38.05147740125556	-0.0	Lamniformes	38.05147740125556
33	0.0	Alopias superciliosus	-32.518042804311115	-0.0	Lamniformes	32.518042804311115
34	0.0	Alopias vulpinus	-53.25153859141111	-0.0	Lamniformes	53.25153859141111
35	0.0	Angoumeius paradoxus	-49.1243628235	-38.56168535535555	Squaliformes	10.56267746814445
36	0.0	Ankistrorhynchus major	-71.81500350516666	-65.69637069313333	Rajiformes	6.118632812033326
37	0.0	Anomotodon cravenensis	-49.87488722604444	-16.516843090833333	Lamniformes	33.35804413521111
38	0.0	Anomotodon genaulti	-84.43278614718889	-71.6934110007889	Lamniformes	12.739375146399993
39	0.0	Anomotodon gracilis	-136.44896093662223	-71.9411033782	Lamniformes	64.50785755842223
40	0.0	Anomotodon hermani	-86.4497677587111	-72.27272238931111	Lamniformes	14.177045369399991
41	0.0	Anomotodon landanensis	-62.65368880653334	-55.19907263674444	Lamniformes	7.454616169788899
42	0.0	Anomotodon multidenticulata	-46.95419505967777	-36.98263891156667	Lamniformes	9.971556148111105
43	0.0	Anomotodon novus	-63.72555316769999	-12.6722172908	Lamniformes	51.05333587689999
44	0.0	Anomotodon plicatus	-85.9160695819	-56.822342287777765	Lamniformes	29.09372729412224
45	0.0	Anomotodon principialis	-122.26996161683331	-93.12803060063332	Lamniformes	29.14193101619999
46	0.0	Anomotodon sheppeyensis	-55.97187207665555	-42.52312420209999	Lamniformes	13.448747874555558
47	0.0	Anoxypristis cuspidata	-3.4392869336666667	-0.0	Rhinopristiformes	3.4392869336666667
48	0.0	Anoxypristis mucrodens	-54.83619587068889	-34.25712358893333	Rhinopristiformes	20.579072281755558
49	0.0	Apocopodon sericeus	-65.11522379117778	-59.5511126097	Myliobatiformes	5.564111181477784
50	0.0	Apristurus sereti	-55.93123152351112	-36.55092777861111	Carcharhiniformes	19.38030374490001
51	0.0	Araloselachus aralensis	-32.9550522047111	-27.656377777966664	Lamniformes	5.298674426744437
52	0.0	Araloselachus cuspidatus	-81.6138241572	-0.0543183365333333	Lamniformes	81.55950582066667
53	0.0	Araloselachus turgaensis	-58.48232425981112	-33.24388459678888	Lamniformes	25.23843966302224
54	0.0	Araloselachus vorax	-32.3519891017	-2.673581393577778	Lamniformes	29.678407708122222
55	0.0	Archaeolamna kopingensis	-112.5015273359889	-66.18599203627777	Lamniformes	46.31553529971113
56	0.0	Archaeolamna striata	-114.4485737314111	-101.7731034521	Lamniformes	12.6754702793111
57	0.0	Archaeomanta melenhorsti	-55.80967001709999	-38.27520911732222	Myliobatiformes	17.53446089977777
58	0.0	Archaeomanta priemi	-62.57285457366665	-48.95789007241111	Myliobatiformes	13.614964501255542
59	0.0	Archaeotriakis ornatus	-83.80068899156667	-72.50245405867778	Carcharhiniformes	11.298234932888889
60	0.0	Archaeotriakis rochelleae	-83.64290466799999	-66.11560812451111	Carcharhiniformes	17.527296543488873
61	0.0	Archingeayia sistaci	-100.90941566557778	-93.03965762966666	Rajiformes	7.8697580359111186
62	0.0	Arechia arambourgi	-55.92146139382222	-48.18477713584445	Myliobatiformes	7.736684257977771
63	0.0	Arechia crassicaudata	-55.4793391412889	-47.557913331744444	Myliobatiformes	7.921425809544452
64	0.0	Ataktobatis variabilis	-71.55707008113335	-66.10210206036666	Rhinopristiformes	5.454968020766685
65	0.0	Atlantoraja cecilae	-49.01022263417778	-16.401721586100003	Rajiformes	32.60850104807778
66	0.0	Aturobatis aquensis	-55.51280261614445	-39.239579009488885	Myliobatiformes	16.273223606655563
67	0.0	Baharipristis bastetiae	-101.37095835013332	-94.3812525527	Rajiformes	6.9897057974333165
68	0.0	Baibishia baibishe	-86.41156615865556	-83.81124659176668	Rhinopristiformes	2.600319566888885
69	0.0	Bathytoshia centroura	-8.786553546811112	-0.0234653736777777	Myliobatiformes	8.763088173133333
70	0.0	Belemnobatis variabilis	-145.59409716455556	-121.65649485008888	incertae_sedis	23.937602314466687
71	0.0	Beringraja binoculata	-7.206783953488889	-0.1307720073	Rajiformes	7.076011946188889
72	0.0	Biropristis landbecki	-83.24753131003332	-66.0853183472	Rajiformes	17.162212962833323
73	0.0	Borodinopristis ackermani	-86.5766064448	-73.24417265027778	Rajiformes	13.332433794522231
74	0.0	Borodinopristis schwimmeri	-85.2149722000889	-72.21361930875555	Rajiformes	13.00135289133334
75	0.0	Brachycarcharias atlasi	-55.53757632441111	-37.61255928084445	Lamniformes	17.925017043566662
