	clade	genus	ts	te
97	0.0	Dwardius	118.31774404956668	82.81696561236669
98	0.0	Dykeius	87.58402930193333	73.430609338
99	0.0	Echinorhinus	139.4561585150667	0.0
100	0.0	Engolismaia	105.96266993825556	90.69800835722222
101	0.0	Eodalatias	57.568910586688894	48.50309568464444
102	0.0	Eoetmopterus	108.6909385389	66.02242833064443
103	0.0	Eogaleus	61.32321305945556	29.930648044411114
104	0.0	Eometlaouia	64.20226466025557	41.474714827388894
105	0.0	Eomobula	68.1958143656889	37.94862550227778
106	0.0	Eoplatyrhina	57.34929015008889	45.27710711204445
107	0.0	Eoplinthicus	45.69232469857778	33.706580959722224
108	0.0	Eoptolamna	132.35859479964446	72.18281641057777
109	0.0	Eorhincodon	122.26225635703332	28.58246150414444
110	0.0	Eorhinobatos	57.14706151124444	47.51961804435556
