	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
299	Cruriraja cadenati									DD														
300	Cruriraja durbanensis									DD										DD				
301	Cruriraja hulleyi									LC										LC				
302	Cruriraja parcomaculata									DD									DD	LC				
303	Cruriraja poeyi									DD														
304	Cruriraja rugosa									DD														
305	Ctenacis fehlmanni									DD								LC						
306	Dactylobatus armatus									DD														
307	Dactylobatus clarkii									DD														
308	Dalatias licha									NT									VU					
309	Dasyatis chrysonota									LC														
310	Dasyatis hypostigma						DD																	
311	Dasyatis marmorata									DD														
312	Dasyatis pastinaca									DD														
313	Deania calcea			LC																				
314	Deania hystricosa									DD														
315	Deania profundorum									LC														
316	Deania quadrispinosa									NT														
317	Dentiraja flindersi											DD				DD								
318	Dentiraja lemprieri									LC						LC								
319	Diplobatis colombiensis						VU																	
320	Diplobatis guamachensis						VU																	
321	Diplobatis ommata						VU																	
322	Diplobatis picta						VU																	
323	Dipturus acrobelus											LC				LC								
324	Dipturus apricus											LC				LC								
325	Dipturus australis									VU														
326	Dipturus batis						CR																	
327	Dipturus bullisi									DD														
328	Dipturus campbelli				NT																			
329	Dipturus canutus																EN							
330	Dipturus cerva									NT														
331	Dipturus confusus																CR							
332	Dipturus crosnieri						VU													VU				
333	Dipturus doutrei									DD														
334	Dipturus ecuadoriensis							DD																
335	Dipturus endeavouri											NT												
336	Dipturus falloargus											DD				DD								
337	Dipturus garricki									DD														
338	Dipturus gigas									DD														
339	Dipturus grahami												LC			LC								
340	Dipturus gudgeri									NT							NT							
341	Dipturus healdi											DD				LC								
342	Dipturus innominatus			NT															LC					
343	Dipturus johannisdavisi									DD										DD				
344	Dipturus kwangtungensis									DD														
345	Dipturus laevis			EN																				
346	Dipturus lanceorostratus				DD															DD				
347	Dipturus leptocaudus				DD																			
348	Dipturus macrocauda									DD														
349	Dipturus melanospilus											DD				DD								
350	Dipturus mennii							VU																
351	Dipturus nidarosiensis									NT						NT								
352	Dipturus oculus											LC				LC								
353	Dipturus olseni									DD														
354	Dipturus oregoni									DD														
355	Dipturus oxyrinchus							NT								NT								
356	Dipturus polyommata											LC				LC								
357	Dipturus pullopunctatus				LC																			
358	Dipturus queenslandicus											DD				DD								
359	Dipturus springeri									DD										LC				
360	Dipturus stenorhynchus				DD															DD				
361	Dipturus teevani									DD														
362	Dipturus tengu									DD														
363	Dipturus trachyderma							VU																
364	Dipturus wengi											LC				LC								
365	Dipturus wuhanlingi											DD												
366	Discopyge tschudii				DD																			
367	Echinorhinus brucus			DD																				
368	Echinorhinus cookei			NT															DD					
369	Electrolux addisoni									CR										LC				
370	Eridacnis barbouri									DD														
371	Eridacnis radcliffei									LC										LC				
372	Eridacnis sinuans				LC															LC				
373	Etmopterus alphus																			LC				
374	Etmopterus bigelowi						LC																	
375	Etmopterus brachyurus									DD						DD								
376	Etmopterus bullisi						DD																	
377	Etmopterus burgessi									DD														
378	Etmopterus carteri						DD																	
379	Etmopterus caudistigmus			LC															LC					
380	Etmopterus compagnoi																			LC				
381	Etmopterus decacuspidatus									DD														
382	Etmopterus dianthus			LC												LC								
383	Etmopterus dislineatus			LC												LC								
384	Etmopterus evansi			LC												LC								
385	Etmopterus fusus			LC												LC								
386	Etmopterus gracilispinis							LC																
387	Etmopterus granulosus																		LC					
388	Etmopterus hillianus						LC																	
389	Etmopterus litvinovi							DD																
390	Etmopterus lucifer									LC									LC					
391	Etmopterus molleri									LC						DD								
392	Etmopterus perryi						DD																	
393	Etmopterus polli						DD																	
394	Etmopterus princeps						DD																	
395	Etmopterus pseudosqualiolus			LC															LC					
396	Etmopterus pusillus									LC														
397	Etmopterus pycnolepis							DD																
398	Etmopterus robinsi						LC																	
399	Etmopterus schultzi						LC																	
400	Etmopterus sculptus																			LC				
401	Etmopterus sentosus						LC													LC				
402	Etmopterus spinax									LC														
403	Etmopterus splendidus									DD														
404	Etmopterus unicolor																		DD					
405	Etmopterus viator																		LC					
406	Etmopterus villosus									LC														
407	Etmopterus virens						LC																	
