species	2015	2009	2000	1996	2019	1994	1990	2018	2007	2006	2013	2016	2005	2003	2002	2004	2017	2011	2012	2010
Oxynotus caribbaeus																DD				
Proscymnodon macracanthus																DD				
Scymnodalatias oligodon																DD				
Squatina armata																DD				
Apristurus canutus									DD							DD				
Apristurus nasutus																DD				
Apristurus stenseni																DD				
Atlantoraja castelnaui																EN				
Bathyraja longicauda																DD				
Benthobatis kreffti																VU				
Galeus mincaronei																VU				
Heterodontus quoyi																DD				
Mustelus dorsalis																DD				
Mustelus fasciatus																CR				
Psammobatis bergi																LC				
Psammobatis extenta																LC				
Pseudobatos planiceps												DD				DD				
Schroederichthys chilensis																DD				
Schroederichthys saurisqualus																VU				
Schroederichthys tenuis																DD				
Scyliorhinus besnardi																DD				
Scyliorhinus haeckelii																DD				
Scyliorhinus hesperius																DD				
Sphyrna corona																NT				
Hypanus guttatus												DD				DD				
Potamotrygon schuemacheri																DD				
Potamotrygon scobina																DD				
Rhinoptera brasiliensis																EN				
Sympterygia brevicaudata																DD				
Sympterygia bonapartii																DD				
Urotrygon microphthalmum																LC				
Apristurus manis					LC											LC				
Anacanthobatis marmorata																DD				
Indobatis ori					LC											DD				
Apristurus saldanha					LC											LC				
Euprotomicroides zantedeschia		DD			LC					DD						DD				
Bythaelurus clevai					DD											DD				
Cephaloscyllium sufflans																LC				
Dipturus campbelli																NT				
Dipturus lanceorostratus					DD											DD				
Dipturus pullopunctatus																LC				
Dipturus stenorhynchus					DD											DD				
Eridacnis sinuans					LC											LC				
Halaelurus lineatus					LC											DD				
Halaelurus natalensis																DD				
Heterodontus ramalheira					DD											DD				
Neoraja stehmanni					LC											DD				
Pseudoginglymostoma brevicaudatum					CR											VU				
Rajella caudaspinosa					LC											NT				
Rajella leoparda								LC								LC				
Rajella ravidula					LC											LC				
Torpedo fuscomaculata					DD											DD				
Apristurus riveri									DD							DD				
Psammobatis normani																DD				
Psammobatis rudis																DD				
Sympterygia acuta																VU				
Sympterygia lima																DD				
Dipturus leptocaudus																DD				
Rajella sadowskii																DD				
Urobatis marmoratus																DD				
Urotrygon chilensis																DD				
Galeus polli																LC				
Rajella barnardi																LC				
Rajella dissimilis																LC				
Amblyraja frerichsi																DD				
Aculeola nigra																DD				
Gurgesiella furvescens																LC				
Rajella nigerrima																LC				
Gurgesiella dorsalifera																VU				
Apristurus microps					LC											LC				
Rhizoprionodon lalandii																DD				
Discopyge tschudii																DD				
Discopyge tschudii																DD				
Discopyge tschudii																DD				
Squatina africana					NT											DD				
Hypanus marianae												DD				DD				
Centroselachus crepidater														LC						
Scymnodon plunketi								VU						NT						
Trygonoptera galba		DD			LC															
Trygonoptera imitata					LC					NT										
Trygonoptera mucosa					LC					LC										
Trygonoptera ovalis					LC					LC										
Trygonoptera personata					LC					LC										
Trygonoptera testacea					NT					LC										
Urolophus armatus										DD										
Urolophus aurantiacus										NT										
Urolophus bucculentus					VU					VU										
Urolophus circularis					LC					LC										
Urolophus cruciatus					LC					LC										
Urolophus deforgesi								LC		LC										
Urolophus expansus					LC					LC										
Urolophus flavomosaicus					LC					LC										
Urolophus gigas					LC					LC										
Urolophus javanicus										CR										
Urolophus kaianus										DD										
Urolophus lobatus					LC					LC										
Urolophus mitosis					LC					LC										
Urolophus neocaledoniensis								LC		LC										
Urolophus orarius					EN					EN										
Urolophus papilio								LC		LC										
Urolophus paucimaculatus					LC					LC										
Urolophus piperatus					LC					LC										
Urolophus sufflavus					VU					VU										
Urolophus viridis					VU					VU										
Urolophus westraliensis					LC					LC										
Urobatis concentricus										DD										
Urobatis halleri	LC									LC										
Urobatis jamaicensis										LC										
Urobatis maculatus										DD										
Plesiobatis daviesi	LC									LC										
Platyrhinoidis triseriata										LC		LC								
Gymnura zonura										VU										
Gymnura micrura										DD										
Gymnura natalensis					LC					DD										
Gymnura poecilura										NT										
Dipturus crosnieri					VU					VU										
Aetobatus flagellum										EN										
Aetomylaeus maculatus										EN										
Aetomylaeus vespertilio										EN		EN								
Myliobatis chilensis										DD										
Myliobatis hamlyni										EN		NT								
Myliobatis longirostris										NT										
Myliobatis peruvianus										DD										
Aetomylaeus bovinus										DD		DD								
Rhinoptera bonasus										NT										
Rhinoptera javanica										VU										
Rhinoptera steindachneri										NT										
Torpedo adenensis										NT							EN			
Torpedo andersoni										DD										
Torpedo microdiscus										DD										
Torpedo panthera										DD										
Tetronarce puelcha										DD										
Torpedo sinuspersici					DD					DD										
Tetronarce tremens										DD										
Callorhinchus capensis										LC										
Harriotta haeckeli	LC									DD										
Harriotta raleighana										LC		LC								
Neoharriotta carri										DD										
Neoharriotta pinnata										DD										
Neoharriotta pumila										DD							LC			
Rhinochimaera africana										DD		DD								
Rhinochimaera atlantica										LC										
Rhinochimaera pacifica	LC									LC										
Telatrygon acutirostra										NT		NT								
Hemitrygon akajei										NT		NT								
Hypanus americanus										DD		DD								
Neotrygon annotata	NT									NT										
Fontitrygon colarensis										VU		VU								
Hypanus dipterurus										DD		DD								
Fontitrygon geijskesi										NT		NT								
Dasyatis hypostigma										DD										
Hemitrygon izuensis										NT		NT								
Neotrygon leylandi	LC									NT								LC		
Hypanus longus										DD		DD								
Hypanus sabinus										LC		LC								
Hypanus say										LC		LC								
Telatrygon zugei										NT		NT								
Styracura schmardae										DD										
Taeniurops meyeni	VU									VU										
Acroteriobatus annulatus										LC		LC								
Acroteriobatus blochii					LC					LC		LC								
Glaucostegus granulatus					CR					VU		VU								
Rhinobatos hynnicephalus										NT										
Pseudobatos leucorhynchus										NT		NT								
Rhinobatos nudidorsalis					DD					NT										
Glaucostegus obtusus					CR					VU		VU								
Pseudobatos productus										NT		NT								
Acroteriobatus salalah										DD		DD					NT			
Glaucostegus thouin					CR					VU		VU								
Acroteriobatus zanzibarensis										NT		NT								
Zapteryx exasperata	DD									DD										
Zapteryx xyster		DD								DD										
Aptychotrema timorensis	VU									VU				LC						
Rhynchobatus luebberti					CR					EN										
Rhynchobatus cooki					CR					VU										
Rhynchobatus springeri					CR					VU										
Chimaera cubana										DD										
Chimaera jordani										DD										
Chimaera lignaria	LC									DD										
Chimaera owstoni										DD										
Chimaera phantasma										DD										
Hydrolagus africanus										DD										
Hydrolagus alberti										DD										
Hydrolagus barbouri										DD										
Hydrolagus colliei	LC									LC										
Hydrolagus lemures										LC		LC								
Hydrolagus macrophthalmus										DD										
Hydrolagus mitsukurii										DD										
Hydrolagus ogilbyi										NT		VU								
Hydrolagus purpurescens	DD									DD										
Hydrolagus trolli	LC									DD										
Mobula munkiana					VU					NT										
Mobula tarapacana					EN					DD		VU								
Mobula thurstoni					EN					NT		NT								
Sphyrna media										DD										
Sphyrna tudes										VU										
Mustelus schmitti										EN										
Mustelus higmani										LC										
Mustelus minicanis										DD										
Mustelus sinusmexicanus										DD										
Centrophorus tessellatus										DD										
Cirrhigaleus asper										DD										
Euprotomicrus bispinatus	LC									LC										
Heteroscymnoides marleyi					LC					LC										
Isistius plutodus	LC									LC										
Somniosus microcephalus										NT										
Squaliolus laticaudus										LC										
Zameus squamulosus										DD										
Centrophorus granulosus										DD										
Carcharhinus perezi										NT										
Isogomphodon oxyrhynchus										CR										
Carcharhinus signatus										DD										
Carcharhinus porosus										DD										
Carcharhinus signatus										DD										
Chiloscyllium plagiosum										NT										
Ginglymostoma cirratum										NT										
Ginglymostoma cirratum										NT										
Isurus paucus					EN					VU										
Pristiophorus schroederi										DD										
Cephaloscyllium ventriosum	LC									LC										
Galeus piperatus										LC										
Holohalaelurus melanostigma					LC					DD										
Parmaturus campechiensis										DD										
Parmaturus xaniurus	LC									DD										
Scyliorhinus meadi										DD										
Scyliorhinus retifer										LC										
Scyliorhinus cervigoni										DD										
Heterodontus mexicanus										DD										
Etmopterus bigelowi										LC										
Etmopterus bullisi										DD										
Etmopterus carteri										DD										
Etmopterus hillianus										LC										
Etmopterus perryi										DD										
Etmopterus polli										DD										
Etmopterus princeps										DD										
Etmopterus robinsi										LC										
Etmopterus sentosus					LC					LC										
Etmopterus virens										LC										
Etmopterus schultzi										LC										
Mustelus palumbes										DD										
Atlantoraja cyclophora										VU										
Bathyraja aguja										DD										
Bythaelurus canescens										DD										
Diplobatis colombiensis										VU										
Diplobatis guamachensis										VU										
Diplobatis ommata										VU										
Diplobatis picta										VU										
Leucoraja melitensis	CR									CR										
Narcine brevilabiata										VU										
Rhizoprionodon porosus										LC										
Rostroraja alba										EN										
Squalus acanthias										LC		VU		VU						
Squalus acanthias										LC		VU		VU						
Squalus acanthias										LC		VU		VU						
Squalus acanthias										LC		VU		VU						
Squalus acanthias										LC		VU		VU						
Squalus cubensis										DD										
Squatina aculeata					CR				CR	EN										
Squatina oculata					CR				CR	EN										
Zapteryx brevirostris										VU										
Dipturus oxyrinchus	NT								NT											
Psammobatis rutrum									DD											
Bathyraja albomaculata								VU	VU											
Hydrolagus pallidus									LC											
Hydrolagus mirabilis									NT											
Bathyraja cousseauae									NT											
Callorhinchus callorynchus									LC											
Etmopterus gracilispinis									LC											
Rioraja agassizii									VU											
Atlantoraja platana									VU											
Bathyraja brachyurops									LC											
Bathyraja papilonifera									DD											
Bathyraja griseocauda									EN											
Chimaera monstrosa									NT											
Bathyraja pallida									LC											
Dipturus trachyderma									VU											
Bathyraja macloviana								NT	NT											
Amblyraja hyperborea									LC			LC								
Raja asterias	NT								LC											
Psammobatis lentiginosa									DD											
Amblyraja doellojuradoi									LC											
Hydrolagus affinis									LC											
Dipturus mennii									VU											
Malacoraja kreffti	LC								LC											
Malacoraja spinacidermis									LC											
Bathyraja richardsoni	LC								LC											
Mustelus mento									NT											
Mustelus whitneyi									VU											
Triakis maculata									VU											
Rhinobatos rhinobatos									EN											
Malacoraja obscura									DD											
Psammobatis parvacauda									DD											
Urobatis tumbesensis									DD											
Dipturus ecuadoriensis									DD											
Bathyraja schroederi									DD											
Psammobatis scobina									DD											
Oxynotus centrina									VU											
Narcine bancroftii					LC				CR											
Bathyraja magellanica								DD	DD											
Bathyraja multispinis									NT											
Bathyraja scaphiops									NT											
Raja montagui									LC											
Zearaja chilensis									VU											
Bathyraja peruana									DD											
Galeus atlanticus									NT											
Hydrolagus matallanasi									DD											
Bathytoshia centroura									LC			LC								
Gymnura altavela									VU											
Narcine leoparda									NT											
Rostroraja cervigoni									NT											
Urotrygon venezuelae									NT											
Narcine brasiliensis									DD											
Pseudobatos prahli									DD			DD								
Etmopterus litvinovi									DD											
Etmopterus pycnolepis									DD											
Gurgesiella atlantica									DD											
Rajella eisenhardti									DD											
Carcharias taurus		VU	VU	EN					CR					NT						
Hydrolagus mccoskeri									DD											
Mustelus ravidus					LC									LC				LC		
Rhinobatos penggali										VU										
Rhinobatos jimbaranensis										VU										
Zearaja maugeana			EN									EN	EN							
Squalus altipinnis		DD			DD															
Squalus edmundsi		NT			NT															
Benthobatis marcida		LC																		
Leucoraja lentiginosa		DD																		
Bathyraja mariposa		DD										LC								
Rhinobatos albomaculatus		VU																		
Cirrhigaleus australis		DD										DD								
Amblyraja robertsi		LC																		
Hydrolagus alphus		DD																		
Squatina nebulosa		VU																		
Crassinarke dormitor		DD																		
Etmopterus burgessi		DD																		
Torpedo marmorata		DD																		
Dipturus cerva		NT																		
Eridacnis barbouri		DD																		
Dactylobatus clarkii		DD																		
Galeus schultzi		DD																		
Mustelus californicus	LC	LC																		
Urotrygon rogersi		DD																		
Scyliorhinus boa		LC																		
Pavoraja alleni	LC	LC																		
Beringraja cortezensis		DD																		
Raja radula	EN	DD										EN								
Amblyraja reversa		DD															DD			
Cruriraja durbanensis		DD			DD															
Gymnura australis	LC	LC																		
Raja herwigi		DD																		
Rostroraja velezi		DD																		
Rajella bathyphila		LC																		
Narcine westraliensis	LC	LC																		
Neoraja africana		DD																		
Fenestraja sibogae		DD																		
Benthobatis moresbyi		DD															LC			
Bathyraja maculata	LC	LC																		
Cirrhoscyllium expolitum		DD																		
Hexanchus nakamurai		DD																		
Potamotrygon falkneri		DD																		
Dipturus tengu		DD																		
Nasolamia velox		DD																		
Anacanthobatis donghaiensis		DD																		
Myliobatis tobijei		DD																		
Sinobatis melanosoma		LC																		
Fenestraja ishiyamai		DD																		
Squalus chloroculus		NT			EN															
Oxynotus paradoxus		DD																		
Potamotrygon marinae		DD																		
Zameus ichiharai		DD																		
Galeus eastmani		LC																		
Potamotrygon schroederi		DD																		
Bathyraja spinicauda		NT																		
Apristurus japonicus		DD																		
Hemitriakis complicofasciata		DD																		
Pavoraja nitida	LC	NT																		
Rajella bigelowi		LC																		
Bathyraja andriashevi		LC																		
Pseudobatos percellens		NT										NT								
Cruriraja cadenati		DD																		
Bathyraja trachura	LC	LC																		
Carcharhinus sorrah		NT																		
Rajella lintea		LC																		
Carcharhinus acronotus		NT																		
Sinobatis borneensis		LC																		
Cephaloscyllium sarawakensis		DD																		
Bathyraja minispinosa	LC	LC																		
Bathyraja shuntovi		DD						DD												
